22AIB116,GN2417
22AIB126,GM1674
22AIB145,GN2442
22AIB147,GM1864
22AIB152,GN2446
22AIB159,GN2452
22AIB209,GL8343
22AIB210,GN2467
22AIB237,GN2490
22AIB259,GL5708
22AIB261,GN2502
22AIB270,GN2510
22AIB279,GN8038
22AIB288,GL8348
22AIB292,GM1884
22AIB293,GL2843
22AIB294,GM1882
22AIB306,GN2514
22AIB308,GK6780
22AIB320,GN2524
22AIB329,GN2534
22AIB361,GN2552
22AIB415,GL5687
22AIB462,GN2594
22AIB480,GN8642
22AIB508,GN2602
22AIB530,GL5404
22AIB652,GN4767
21AIB120,GL5597
22AEB158,GN2451
22AEB175,GN8029
22AEB180,GN8517
22AEB182,GL6526
22AEB184,GN8451
22AEB322,GK7515
22AEB345,GL5700
22AEB349,GM1857
22AEB373,GN8042
22AEB383,GJ9686
22AEB388,GL5881
22AEB390,GK6421
22AEB401,GK7183
22AEB445,GK7135
22AEB476,GN8053
22AEB485,GN8884
22AEB515,GN2607
22AEB555,GM1462
22AEB611,GN4758
22AEB613,GK6414
22AEB620,GN4738
22AEB623,GK8305
22AEB645,GL5692
22AEB651,GN4768
22CEB111,GL6651
22CEB119,GK1496
22CEB120,GK8112
22CEB121,GH0712
22CEB125,GL5551
22CEB130,GK8922
22CEB171,GN8025
22CEB174,GN8028
22CEB177,GN8030
22CEB181,GN8170
22CEB202,GK7299
22CEB204,GK7297
22CEB224,GK7053
22CEB226,GK0830
22CEB274,GN8035
22CEB275,GN8036
22CEB277,GL4958
22CEB287,GN8110
22CEB352,GK7098
22CEB356,GN2548
22CEB366,GL8579
22CEB375,GK6247
22CEB376,GL8311
22CEB378,GN8044
22CEB380,GM1531
22CEB381,GN8045
22CEB422,GK8951
22CEB431,GL4383
22CEB433,GN8882
22CEB455,GN8844
22EEB105,GM1770
22EEB106,GN2411
22EEB117,GL5262
22EEB118,GN2418
22EEB127,GL4318
22EEB155,GN2448
22EEB157,GN2450
22EEB160,GL5406
22EEB161,GM1565
22EEB162,GN2456
22EEB163,GL3816
22EEB167,GN2460
22EEB169,GL4377
22EEB179,GN8031
22EEB185,GN8600
22EEB191,GN8065
22EEB203,GM1773
22EEB205,GN2465
22EEB215,GL9072
22EEB220,GL4965
22EEB222,GN2475
22EEB223,GN2477
22EEB230,GM5990
22EEB240,GN2492
22EEB246,GN2495
22EEB252,GK6592
22EEB254,GK7304
22EEB269,GN2509
22EEB278,GN8037
22EEB309,GN2517
22EEB314,GL9265
22EEB326,GL5269
22EEB332,GK7005
22EEB338,GK6221
22EEB341,GN2540
22EEB347,GN2542
22EEB364,GM1728
22EEB402,GL3417
22EEB404,GL5313
22EEB408,GK6237
22EEB410,GL6545
22EEB411,GK6219
22EEB412,GM1859
22EEB414,GK7271
22EEB419,GN2563
22EEB427,GN2570
22EEB428,GL5618
22EEB436,GK6262
22EEB443,GN2580
22EEB447,GK8273
22EEB449,GL4432
22EEB450,GM1848
22EEB454,GK8876
22EEB465,GM1781
22EEB484,GK7565
22EEB488,GN8798
22EEB510,GN0085
22EEB513,GN2604
22EEB514,GN2605
22EEB534,GL5254
22EEB537,GN8958
22EEB548,GN8910
22EEB558,GL8939
22EEB562,GM6443
22EEB625,GN4745
22EEB633,GN4729
22EEB639,GN4762
22EEB666,GL4241
22EEB670,GL4201
21EEB206,GK7248
22EEB343,GN2541
22EEB391,GM5662
22ELB103,GN2408
22ELB108,GN2412
22ELB113,GL5712
22ELB122,GN2423
22ELB123,GN2424
22ELB124,GN2425
22ELB133,GN2431
22ELB134,GM1874
22ELB139,GN2437
22ELB141,GN2438
22ELB142,GN2439
22ELB151,GN2445
22ELB153,GL9778
22ELB156,GN2449
22ELB207,GN2466
22ELB208,GJ4899
22ELB213,GM5341
22ELB216,GN2471
22ELB231,GN2483
22ELB233,GN2485
22ELB238,GL8520
22ELB243,GN2493
22ELB244,GN2494
22ELB248,GM1526
22ELB260,GL6516
22ELB263,GL8458
22ELB283,GM1791
22ELB284,GN8099
22ELB285,GN8116
22ELB286,GN8437
22ELB304,GM5297
22ELB305,GM1520
22ELB313,GM1490
22ELB331,GN2536
22ELB339,GM1642
22ELB360,GK1731
22ELB362,GK8345
22ELB363,GN2553
22ELB365,GL1686
22ELB368,GM1802
22ELB369,GN2554
22ELB389,GM5588
22ELB405,GN2556
22ELB413,GN2559
22ELB424,GL8032
22ELB437,GN2574
22ELB439,GL9044
22ELB458,GN2590
22ELB469,GK6443
22ELB521,GN2611
22ELB524,GL5513
22ELB550,GM6434
22ELB560,GN4778
22ELB654,GK1225
22ELB660,GK6079
22ELB674,GL4005
22ELB680,GL4364
22ELB684,GL4038
22ELB689,GL4354
22ELB441,GN2576
22ELB527,GM5756
22ELB541,GL1688
22MEB110,GN2414
22MEB115,GK8992
22MEB137,GN2434
22MEB146,GK8873
22MEB164,GM1820
22MEB165,GM5996
22MEB173,GL6695
22MEB206,GL4980
22MEB218,GK8914
22MEB239,GK7533
22MEB242,GL8554
22MEB251,GL4368
22MEB281,GL8444
22MEB282,GN8040
22MEB289,GM5657
22MEB290,GN8369
22MEB291,GL6532
22MEB302,GN2511
22MEB334,GM1670
22MEB359,GN2551
22MEB371,GN8041
22MEB387,GN8611
22MEB421,GN2565
22MEB426,GN2569
22MEB429,GL5419
22MEB432,GN2572
22MEB460,GM1522
22MEB471,GM6005
22MEB483,GK1724
22MEB504,GK4819
22MEB531,GK7205
22MEB602,GN4734
22MEB603,GM1775
22MEB604,GL8370
22MEB605,GM1761
22MEB606,GN4731
22MEB607,GN4739
22MEB608,GK9069
22MEB609,GL4230
22MEB615,GL5423
22MEB622,GN4756
22MEB627,GN4753
22MEB629,GL1670
22MEB630,GN4746
22MEB632,GL1699
22MEB636,GN4764
22MEB637,GM2799
22MEB640,GN4733
22MEB649,GK8902
22MEB659,GL5572
22MEB664,GL4340
22MEB677,GL4337
22MEB678,GL4314
22MEB681,GL4252
22MEB682,GL4228
22MEB683,GL4220
22MEB689,GL4252
20MEB031,GL2256
21MEB122,GL1649
21MEB126,GK8966
21MEB305,GM6627
21MEB347,GJ8611
21MEB272,GK8976
21MEB423,GM7927
21MEB511,GM7964
21MEB223,GK6394
21MEB257,GK5789
21MEB507,GM7961
21MEB570,GK7722
21MEB566,GN0178
21MEB688,GJ8850
22CHB128,GN2427
22CHB176,GK7115
22CHB250,GK6721
22CHB273,GJ9919
22CHB276,GK5845
22CHB353,GN2546
22CHB374,GN8043
22CHB377,GJ9554
22CHB438,GN8820
22CHB457,GM5239
22CHB468,GN8960
22CHB474,GN8051
22CHB481,GN8628
22CHB506,GM5448
22CHB516,GN8833
22CHB528,GN8869
22CHB540,GN8954
22CHB556,GN4777
22CHB561,GN4781
22CHB617,GN4760
22CHB618,GK5222
22CHB489,GN8804
22PKB280,GN8039
22PKB466,GK7302
22PKB467,GL8308
22PKB475,GM1811
22PKB525,GN8905
22PKB526,GL5689
22PKB529,GN8975
22PKB535,GN8950
22PKB544,GL1692
22PKB635,GL8405
22PKB691,GN8892
22FTB409,GL5711
22FTB430,GL3460
22FTB440,GN8994
22FTB472,GN8050
22FTB486,GM1720
22FTB512,GN8988
22FTB519,GL5414
22FTB616,GK4849
22COB101,GN2403
22COB107,GM1536
22COB109,GN2413
22COB112,GL3815
22COB129,GN2428
22COB131,GL8086
22COB132,GN2430
22COB138,GN2435
22COB148,GK7033
22COB149,GN2443
22COB150,GN2444
22COB154,GL5628
22COB166,GL6648
22COB168,GN2461
22COB186,GL8004
22COB170,GN2462
22COB187,GM1534
22COB188,GM6039
22COB189,GN8155
22COB190,GN8360
22COB201,GN2464
22COB221,GN2474
22COB225,GL5639
22COB228,GN2479
22COB229,GN2482
22COB232,GN2484
22COB235,GN2487
22COB247,GN2497
22COB255,GN2500
22COB256,GK6341
22COB264,GL8455
22COB265,GN2504
22COB272,GN8032
22COB301,GK7296
22COB307,GN2516
22COB310,GN2519
22COB323,GN2528
22COB324,GN2530
22COB328,GN2532
22COB335,GM5995
22COB336,GM1518
22COB337,GN2538
22COB348,GN2543
22COB355,GK8946
22COB357,GN2549
22COB358,GN2550
22COB370,GK1557
22COB403,GN2555
22COB406,GL3424
22COB407,GN2557
22COB416,GN2561
22COB434,GN2573
22COB518,GN2609
22COB549,GM6433
22COB643,GM5424
22COB644,GN4732
22COB658,GN4728
22COB667,GL4251
22COB675,GL4004
22COB676,GL4030
21COB348,GL5210
